timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
297.682,48.91225371,12.48677666,-32.86443193,0.006514893,0.005577419,-0.80013609,-0.599757189,-0.09681064,0.128971799,-0.003652059,-0.003185405,-4.71E-05,0.430944939
297.732,48.90751327,12.49310211,-32.86461363,0.006507628,0.005582276,-0.806886722,-0.590643977,-0.092913174,0.124247441,-0.003613306,-0.003784691,-0.000550983,0.474418706
297.782,48.90295795,12.49920074,-32.86479297,0.006511372,0.005593631,-0.814141316,-0.580603334,-0.089702582,0.120009236,-0.003562475,-0.004072804,-0.000793587,0.513902671
297.832,48.89851071,12.50511261,-32.8649702,0.006511813,0.005610347,-0.821780164,-0.569739837,-0.088676214,0.116785035,-0.003534654,-0.003860184,-0.00090293,0.545830793
297.882,48.8941053,12.5108705,-32.86514666,0.006521928,0.005661335,-0.829308313,-0.558724561,-0.08700644,0.113487333,-0.003522051,-0.002155165,-0.003268018,0.50542725
297.932,48.88985388,12.51644401,-32.86532213,0.006556769,0.005769023,-0.835639375,-0.549209034,-0.082981234,0.10955232,-0.003495747,-0.00021612,-0.00455407,0.41021197
297.982,48.88580516,12.52182008,-32.86549624,0.006578934,0.005886769,-0.840586428,-0.541605503,-0.079512352,0.105768751,-0.003473403,0.000656412,-0.002642066,0.322611355
298.032,48.88186581,12.52702265,-32.86567004,0.006561169,0.005985633,-0.844459304,-0.535546084,-0.078541843,0.102502991,-0.003486055,0.001732398,-0.001502832,0.259963059
298.082,48.87791167,12.53206987,-32.86584539,0.006510031,0.006070201,-0.847655683,-0.530472068,-0.079794193,0.099542166,-0.003526683,0.001793442,0.000588229,0.226053495
298.132,48.87387442,12.5369733,-32.86602276,0.00643625,0.006138294,-0.850569187,-0.525787936,-0.081613346,0.09671894,-0.003565968,0.002160754,0.000366414,0.219801793
298.182,48.86975414,12.54173664,-32.86620179,0.006378892,0.006230916,-0.853534102,-0.520960672,-0.083029339,0.093926876,-0.003590054,0.002564866,-0.001244071,0.236026012
298.232,48.86558277,12.54636023,-32.86638148,0.006349773,0.006352225,-0.856795221,-0.515578587,-0.083656137,0.091126014,-0.003595167,0.002481543,-0.002720891,0.268330749
298.282,48.86140265,12.55084332,-32.86656086,0.006339031,0.00647769,-0.8605069,-0.509358156,-0.083417866,0.088307661,-0.003574976,0.001419007,-0.002787098,0.310750022
298.332,48.85725542,12.55518515,-32.86673853,0.006337403,0.006588838,-0.864745233,-0.502127581,-0.082391824,0.085477601,-0.003531373,0.000540929,-0.003338091,0.358399214
298.382,48.85308265,12.5594445,-32.86691537,0.006296127,0.006646609,-0.869431275,-0.493969067,-0.085854985,0.085861937,-0.00356537,-0.001432247,0.002603973,0.387684918
298.432,48.84854779,12.56382918,-32.86709687,0.006149294,0.006626291,-0.874225388,-0.485436144,-0.095909039,0.089544474,-0.003699981,-0.000643557,0.005317064,0.392149167
