timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1286.206,7.445061579,-5.66976255,-1.875355738,-0.002116582,0.00034621,0.973004491,0.230776213,-0.397185283,0.117531818,0.326190521,-0.002353251,-0.000839291,0.48452904
1286.256,7.425200082,-5.664120035,-1.858994842,-0.00213512,0.00039137,0.975767631,0.218798578,-0.397595107,0.10837465,0.328151712,-0.003243235,0.000774543,0.497649194
1286.306,7.405316932,-5.658942693,-1.842559214,-0.002144338,0.000410864,0.97836242,0.206886947,-0.397126706,0.099277989,0.328884797,0.000100357,-0.000753837,0.468273039
1286.356,7.385498708,-5.654201699,-1.826121566,-0.002169132,0.000364482,0.98057146,0.196149878,-0.39609923,0.090565341,0.328627427,0.000610593,-0.000748095,0.410254182
1286.406,7.365691626,-5.649910196,-1.80968651,-0.002181578,0.000336447,0.982414007,0.186702564,-0.396076436,0.08154737,0.328946346,-0.000197339,-0.000147529,0.366132573
1286.456,7.345894359,-5.646060797,-1.793209869,-0.002184732,0.00033568,0.98402663,0.178007598,-0.395828481,0.072787677,0.330200087,-0.0012128,0.000359364,0.345510181
1286.506,7.326116782,-5.642644525,-1.776662865,-0.002185064,0.000344167,0.985516805,0.169563364,-0.395195568,0.064261382,0.331539867,-0.000691377,0.000127521,0.343229152
1286.556,7.306398985,-5.639639349,-1.76005439,-0.002192392,0.000335277,0.986957596,0.160965164,-0.393253677,0.056446446,0.332795069,-0.000246922,-0.000352251,0.356069239
1286.606,7.286799962,-5.637011062,-1.743385927,-0.002206328,0.000318079,0.988390443,0.151918939,-0.391056284,0.048861145,0.333784174,-0.000161643,-0.000357983,0.376046142
1286.656,7.267286499,-5.634775361,-1.72667915,-0.002216353,0.00030146,0.989815617,0.14233777,-0.389521258,0.040876286,0.334465578,-0.000340639,-0.000159981,0.398520562
1286.706,7.247776522,-5.632869545,-1.709930944,-0.002206929,0.000267364,0.991200923,0.132347228,-0.391908834,0.036692748,0.335536882,0.00158147,0.001151164,0.403238715
1286.756,7.228028325,-5.631038868,-1.693112806,-0.002154639,0.000198789,0.992470584,0.122464109,-0.398127694,0.036848388,0.337205129,0.002269243,0.002608045,0.393446861
1286.806,7.207926153,-5.629192457,-1.676225003,-0.0020767,0.00011807,0.993613921,0.112814226,-0.405727405,0.03664245,0.337918422,0.00337378,0.002926618,0.385602652
1286.856,7.187460312,-5.627403939,-1.659341501,-0.002001022,1.34E-05,0.994656391,0.103221409,-0.412248661,0.03478738,0.337351762,0.003799044,0.002345635,0.388215548
1286.906,7.166699212,-5.625742352,-1.642484474,-0.001936433,-6.91E-05,0.995620641,0.093465417,-0.418130438,0.031542405,0.337124813,0.001473761,0.002429499,0.395609921
1286.956,7.145628152,-5.624293336,-1.625612898,-0.001871722,-8.15E-05,0.996504986,0.083512296,-0.424399934,0.026222826,0.337842449,-0.00138436,0.002641027,0.403887358
1287.006,7.124247625,-5.623174193,-1.608703173,-0.001811011,-4.85E-05,0.997306337,0.073326586,-0.430618425,0.018439512,0.338347711,-0.001987122,0.002443837,0.4130065
1287.056,7.102563811,-5.622499078,-1.591786029,-0.001758136,-9.88E-06,0.998018597,0.062895057,-0.436275561,0.008733728,0.33832609,-0.002328407,0.002038757,0.423550751
1287.106,7.080621699,-5.62234968,-1.574871593,-0.001715447,4.30E-05,0.998636384,0.052176886,-0.441195815,-0.002644401,0.338250106,-0.003214541,0.001767848,0.434618214
1287.156,7.058450679,-5.622806358,-1.557961231,-0.00168129,0.000108838,0.999150517,0.041175309,-0.445205496,-0.015157117,0.338169909,-0.0032511,0.001311818,0.446392174
1287.206,7.036143329,-5.623870999,-1.541050736,-0.001664909,0.000159742,0.999554052,0.029814437,-0.446401882,-0.026580916,0.338309934,-0.002264949,0.000288181,0.46358756
1287.256,7.013856329,-5.625461451,-1.524120638,-0.001673702,0.000195906,0.999837301,0.017959195,-0.44485643,-0.036541527,0.338972933,-0.002477779,-0.00059688,0.48427433
1287.306,6.991665312,-5.627546044,-1.507157873,-0.001696103,0.000229264,0.99998223,0.005710616,-0.443019257,-0.046545287,0.339344166,-0.001707511,-0.000791814,0.491504528
1287.356,6.969540958,-5.630164247,-1.490191029,-0.001715571,0.000261028,0.999977371,-0.00649966,-0.442128598,-0.058100995,0.339372691,-0.002776211,-0.000510591,0.484407504
1287.406,6.947463568,-5.633397639,-1.473224805,-0.001730832,0.000304504,0.999833824,-0.018144881,-0.440730375,-0.070710511,0.339180868,-0.001969431,-0.000586806,0.440232432
1287.456,6.925442197,-5.637262862,-1.456273361,-0.001740744,0.000331797,0.999597067,-0.028329562,-0.440826169,-0.083481892,0.338964916,-0.00191456,0.000118444,0.378332545
1287.506,6.903337419,-5.641774467,-1.439316704,-0.00172809,0.000369641,0.999308726,-0.03713419,-0.443450737,-0.096349371,0.33942437,-0.002304163,0.000899703,0.332055866
1287.556,6.881132911,-5.646851736,-1.422317332,-0.001711426,0.000382272,0.998978499,-0.045153993,-0.443934093,-0.105372822,0.340603142,0.000125431,0.000395585,0.316264848
1287.606,6.85899046,-5.652276291,-1.405245284,-0.001717211,0.000358445,0.998587124,-0.053110066,-0.441647976,-0.11125415,0.342278748,0.000262036,-0.000501789,0.323003251
1287.656,6.836986082,-5.657991972,-1.388080334,-0.001740585,0.000350961,0.998113254,-0.061374088,-0.438468887,-0.117102619,0.344282201,-0.000541595,-0.001117654,0.340056782
1287.706,6.815177483,-5.663982404,-1.370814311,-0.00177806,0.000346258,0.997533007,-0.070175622,-0.433758913,-0.122087555,0.346225119,1.60E-05,-0.001661337,0.365904275
1287.756,6.793653428,-5.670182436,-1.353454335,-0.00183153,0.000327129,0.996816404,-0.079709445,-0.427149411,-0.125492075,0.348133949,0.000327906,-0.002327952,0.398567182
1287.806,6.772439589,-5.676564154,-1.335996071,-0.0018886,0.000328068,0.995941839,-0.089978767,-0.422433034,-0.130205306,0.350107441,-0.001600144,-0.001866043,0.421888354
1287.856,6.751366607,-5.683241687,-1.31843924,-0.001921155,0.000363269,0.994920589,-0.100643924,-0.420802386,-0.13667653,0.352099883,-0.002345035,-0.000938524,0.433748194
1287.906,6.73036476,-5.690249604,-1.300840476,-0.001930528,0.000334109,0.993754619,-0.111570241,-0.419086441,-0.143458648,0.350960586,0.003583678,0.000583861,0.445624777
1287.956,6.709493087,-5.697596284,-1.283385161,-0.001929406,0.000189063,0.992424478,-0.12284094,-0.415576118,-0.149967141,0.347418385,0.005271648,0.000637797,0.462567174
1288.006,6.688885501,-5.705208633,-1.26608915,-0.001948387,3.66E-05,0.990967216,-0.134090194,-0.408101294,-0.153611992,0.344799068,0.005291989,-0.000831679,0.433458122
1288.056,6.668742011,-5.712935832,-1.248885532,-0.002003684,-8.75E-05,0.98957145,-0.144028895,-0.398055255,-0.155750186,0.343598445,0.003182002,-0.002251056,0.371430185
1288.106,6.649090196,-5.720816162,-1.231717734,-0.002071551,-0.000154183,0.988293716,-0.152549063,-0.388592116,-0.159455722,0.343198546,0.001801062,-0.002430666,0.324353904
1288.156,6.629884469,-5.728906897,-1.214555703,-0.002132937,-0.000187741,0.987077786,-0.160227528,-0.380049798,-0.164031123,0.343399696,0.000488525,-0.002320037,0.302440614
1288.206,6.611102905,-5.737217903,-1.197366629,-0.002188392,-0.00019986,0.985844125,-0.167650029,-0.371495509,-0.168049512,0.344211648,8.02E-05,-0.002249089,0.302874208
1288.256,6.592761328,-5.745693069,-1.180124454,-0.002243592,-0.000208262,0.984510461,-0.175311367,-0.362426155,-0.170572116,0.345500788,2.56E-05,-0.002374941,0.32102236
1288.306,6.574848608,-5.754322398,-1.162810549,-0.002295267,-0.000187381,0.983022589,-0.183470126,-0.354946872,-0.175321182,0.346992133,-0.002466552,-0.002259333,0.340305971
1288.356,6.557240598,-5.763285033,-1.145423602,-0.002323887,-0.000123551,0.981385644,-0.192033338,-0.349843804,-0.183034281,0.348407935,-0.003314094,-0.001343029,0.356568496
1288.406,6.539830248,-5.772635673,-1.128012522,-0.002312016,-0.000125189,0.979596,-0.200963468,-0.347277114,-0.190593371,0.347361146,0.002001299,0.002079511,0.370542335
1288.456,6.522468106,-5.782363235,-1.110718361,-0.00224952,-0.000232219,0.977665202,-0.210156223,-0.347535267,-0.198311099,0.344569839,0.002816732,0.003624182,0.380019052
1288.506,6.505072589,-5.792502229,-1.093573802,-0.00216504,-0.000347108,0.97559729,-0.219556646,-0.348003544,-0.207140574,0.34111216,0.00323016,0.004265899,0.390306837
1288.556,6.487700755,-5.803092559,-1.076621772,-0.002078294,-0.00047503,0.973363068,-0.229259226,-0.346578205,-0.215891791,0.337178046,0.00348212,0.003944529,0.406740727
1288.606,6.470364102,-5.81409197,-1.059852595,-0.001987481,-0.00061131,0.97096095,-0.239228992,-0.347912294,-0.223765536,0.333874276,0.00363277,0.004970474,0.408640738
1288.656,6.452833967,-5.825508496,-1.043218313,-0.001870638,-0.000722513,0.968512153,-0.248958207,-0.353519265,-0.232886122,0.331840503,0.001143297,0.005161726,0.393287491
1288.706,6.435011077,-5.837376468,-1.026647061,-0.001749867,-0.000784651,0.966050792,-0.258345099,-0.358645851,-0.240865272,0.331253654,0.000265449,0.004305539,0.386753413
1288.756,6.417011015,-5.849578449,-1.010073966,-0.001660589,-0.000814509,0.963487013,-0.267748679,-0.360829573,-0.246951494,0.331809556,-0.001080353,0.00223056,0.394070606
1288.806,6.398953003,-5.862093816,-0.993450439,-0.001609018,-0.000795248,0.960763456,-0.277363227,-0.361358837,-0.253534017,0.333190811,-0.002495052,0.000540882,0.404884549
1288.856,6.380891416,-5.874965226,-0.976741959,-0.001582988,-0.000732472,0.95786713,-0.287206404,-0.360901218,-0.261212788,0.335148654,-0.003900694,-0.000852734,0.415554445
1288.906,6.362943999,-5.888240822,-0.95995508,-0.0015812,-0.000658167,0.954894668,-0.296939792,-0.356043602,-0.269519329,0.335853142,-0.002469001,-0.00149055,0.390073853
1288.956,6.345370093,-5.901970883,-0.943179086,-0.001605935,-0.000600637,0.952160574,-0.305593359,-0.34690146,-0.279891592,0.335154085,-0.002699063,-0.002588771,0.337134675
1289.006,6.328278489,-5.916308233,-0.926461199,-0.001634371,-0.00054271,0.949753018,-0.31299559,-0.337370109,-0.293514885,0.333354967,-0.001633484,-0.001314414,0.28964195
1289.056,6.31163812,-5.931314476,-0.909855097,-0.00163577,-0.000543702,0.947581312,-0.319510071,-0.3286621,-0.305272156,0.331060968,0.000934692,0.00043426,0.265858803
1289.106,6.295426063,-5.946770042,-0.893341059,-0.001633111,-0.000596277,0.945440446,-0.325790331,-0.320172977,-0.312060276,0.329807293,0.001764826,0.000228755,0.268264773
1289.156,6.279636995,-5.962508633,-0.87685351,-0.001648607,-0.00063479,0.943170233,-0.332305266,-0.311719829,-0.317206539,0.32988156,0.000777065,-0.000953716,0.284629598
